design,apc,apc_total,apc share of total apc,spending_category,denominator,se,n_obs,spend_category_unemp,spend_category_emp
$300 expiration June vs. Sept states,-0,0.146,-0,student_loan_pmts,income,0.001,47623,8.002127524771254,22.21991173261926
$300 expiration June vs. Sept states,0,0.146,0,other_loan_pmts,income,0,47623,0.06537392759977327,0.5204630566299692
$300 expiration June states,0.348,0.121,2.8760330578512394,total_spend,income,0.028,121994,5062.58777682479,4575.9751919071705
$300 expiration June states,0.225,0.121,1.859504132231405,total_spend_cardcash,income,0.018,121994,2910.98512579965,2898.721189130219
$300 expiration June states,0.139,0.121,1.1487603305785126,uncatergorized_spend,income,0.018,121994,2335.7919830876144,1908.7252742239414
$300 expiration June states,0.121,0.121,1,total_categorized_spending_post_winsor,income,0.01,121994,2014.527769805501,1908.880147575126
$300 expiration June states,0.119,0.121,0.9834710743801652,sum of apcs,NA,NA,NA,NA,NA
$300 expiration June states,0.044,0.121,0.36363636363636365,debt_payments,income,0.008,121994,879.571671286769,855.7189199642962
$300 expiration June states,0.029,0.121,0.2396694214876033,off_us_creditcard_pmts,income,0.007,121994,491.3206663271673,419.4759466428642
$300 expiration June states,0.02,0.121,0.1652892561983471,Restaurant,income,0.002,121994,278.9078548123656,246.05450461172273
$300 expiration June states,0.02,0.121,0.1652892561983471,uncatergorized_spend_cardcash,income,0.003,121994,294.3183529900157,306.64057919270056
$300 expiration June states,0.014,0.121,0.11570247933884298,Other_Retail,income,0.003,121994,197.195165728458,135.45604581969653
$300 expiration June states,0.013,0.121,0.10743801652892562,Groceries,income,0.002,121994,324.45185161234014,334.9115531091937
$300 expiration June states,0.011,0.121,0.09090909090909091,Hotels_&_Rental_cars,income,0.004,121994,75.05712151379612,61.32856292770009
$300 expiration June states,0.009,0.121,0.0743801652892562,Professional_&_Personal_Services,income,0.002,121994,98.118702446605,104.87545869284935
$300 expiration June states,0.007,0.121,0.05785123966942149,Discount_Stores,income,0.001,121994,91.61884597469636,73.36744024595855
$300 expiration June states,0.006,0.121,0.049586776859504134,Healthcare,income,0.002,121994,55.74990772109794,52.450797381731626
$300 expiration June states,0.006,0.121,0.049586776859504134,Clothing,income,0.001,121994,61.80802226643602,60.524397500743824
$300 expiration June states,0.005,0.121,0.04132231404958678,Entertainment,income,0.001,121994,60.18420793699632,49.608205891103836
