state_abb,month,all_first_payments
WA,2020-02-01,11279
WA,2020-03-01,56665
WA,2020-04-01,330876
WA,2020-05-01,131288
WA,2020-06-01,55318
WA,2020-07-01,62465
WA,2020-08-01,22513
WA,2020-09-01,16412
WA,2020-10-01,13743
WA,2020-11-01,16863
WA,2020-12-01,22669
WA,2021-01-01,18006
WA,2021-02-01,16559
WA,2021-03-01,22344
WA,2021-04-01,15636
WA,2021-05-01,31133
WA,2021-06-01,25801
WA,2021-07-01,14539
WA,2021-08-01,12190
WA,2021-09-01,12082
WI,2020-01-01,19204
WI,2020-02-01,11650
WI,2020-03-01,29298
WI,2020-04-01,183898
WI,2020-05-01,36252
WI,2020-06-01,25351
WI,2020-07-01,32535
WI,2020-08-01,19495
WI,2020-09-01,14340
WI,2020-10-01,12462
WI,2020-11-01,17144
WI,2020-12-01,36019
WI,2021-01-01,20491
WI,2021-02-01,8576
WI,2021-03-01,7132
WI,2021-04-01,7247
WI,2021-05-01,5376
WI,2021-06-01,4272
WI,2021-07-01,3946
WI,2021-08-01,3562
WI,2021-09-01,4257
WV,2020-01-01,7621
WV,2020-02-01,4570
WV,2020-03-01,12785
WV,2020-04-01,73162
WV,2020-05-01,42777
WV,2020-06-01,21032
WV,2020-07-01,6738
WV,2020-08-01,6414
WV,2020-09-01,3709
WV,2020-10-01,3124
WV,2020-11-01,3238
WV,2020-12-01,6264
WV,2021-01-01,6055
WV,2021-02-01,5134
WV,2021-03-01,3991
WV,2021-04-01,5397
WV,2021-05-01,3866
WV,2021-06-01,2955
WV,2021-07-01,2732
WV,2021-08-01,2323
WV,2021-09-01,1574
WY,2020-01-01,1559
WY,2020-02-01,1169
WY,2020-03-01,1941
WY,2020-04-01,11537
WY,2020-05-01,8079
WY,2020-06-01,4380
WY,2020-07-01,3043
WY,2020-08-01,1574
WY,2020-09-01,1181
WY,2020-10-01,955
WY,2020-11-01,1155
WY,2020-12-01,1752
WY,2021-01-01,1737
WY,2021-02-01,1449
WY,2021-03-01,1054
WY,2021-04-01,1217
WY,2021-05-01,823
WY,2021-06-01,673
WY,2021-07-01,1127
WY,2021-08-01,455
WY,2021-09-01,354
